bpm	64.5
77	0.15	5	1	5	5	0	1	
78	0.3	5	0	5	0	1	1	
78	0.3	5	1	5	5	0	1	
78	0.3	5	0	5	0	1	1	
78	0.15	0	0	0	0	1	1	
78	0.15	5	1	5	5	0	1	
79	0.3	5	0	5	0	1	1	
79	0.3	5	1	5	5	0	1	
79	0.15	0	0	0	0	1	1	
79	0.15	5	0	5	0	0	1	
79	0.15	0	0	0	0	1	1	
79	0.15	5	1	5	5	0	1	
80	0.3	8	0	5	0	1	1	
80	0.3	5	1	5	5	0	1	
80	0.3	5	0	5	0	1	1	
80	0.15	0	0	0	0	1	1	
80	0.15	5	1	5	5	0	1	
81	0.3	5	0	5	0	1	1	
81	0.3	5	1	5	5	0	1	
81	0.3	5	0	5	0	1	1	
81	0.15	0	0	0	0	1	1	
81	0.15	5	1	5	5	0	1	
82	0.3	5	0	5	0	1	1	
82	0.3	5	1	5	5	0	1	
82	0.3	5	0	5	0	1	1	
82	0.15	0	0	0	0	1	1	
82	0.15	5	1	5	5	0	1	
83	0.3	5	0	5	0	1	1	
83	0.3	5	1	5	5	0	1	
83	0.15	0	0	0	0	1	1	
83	0.15	5	0	5	0	0	1	
83	0.15	0	0	0	0	1	1	
83	0.15	5	1	5	5	0	1	
84	0.3	5	0	5	0	1	1	
84	0.3	5	1	5	5	0	1	
84	0.3	5	0	5	0	1	1	
84	0.15	0	0	0	0	1	1	
84	0.15	5	1	5	5	0	1	
85	0.3	5	0	5	0	1	1	
85	0.3	5	1	5	5	0	1	
85	0.3	5	0	5	0	1	1	
85	0.15	0	0	0	0	1	1	
85	0.15	5	1	5	5	0	1	
86	0.3	5	0	5	0	1	1	
86	0.3	5	1	5	5	0	1	
86	0.3	5	0	5	0	1	1	
86	0.15	0	0	0	0	1	1	
86	0.15	5	1	5	5	0	1	
87	0.3	0	0	0	0	1	1	
87	0.15	8	1	5	5	0	1	
87	0.3	0	0	0	0	1	1	
87	0.15	8	1	5	5	0	1	
87	0.3	8	1	5	5	0	1	
88	0.3	8	0	5	0	1	1	
88	0.3	5	0	5	0	0	1	
88	0.3	5	0	5	0	1	1	
88	0.3	5	1	5	5	0	1	
89	0.3	5	0	5	0	1	1	
89	0.3	5	0	5	0	0	1	
89	0.3	5	0	5	0	1	1	
89	0.3	5	1	5	5	0	1	
90	0.3	0	0	0	0	1	0	
90	0.2	3	4	5	5	0	0	
90	0.2	3	0	5	0	0	0	
90	0.2	0	3	0	5	0	0	
90	0.2	2	0	5	0	0	0	
90	0.2	0	2	0	5	0	0	
91	0.2	8	0	5	0	1	0	
91	0.3	5	1	5	0	0	1	
91	0.3	5	0	5	0	1	1	
91	0.3	5	1	5	5	0	1	
92	0.3	8	0	5	0	1	0	
92	0.15	0	4	0	5	0	0	
92	0.075	0	4	0	5	0	0	
92	0.075	4	0	5	0	0	0	
92	0.15	0	4	0	5	0	0	
92	0.15	3	0	5	0	0	0	
92	0.15	0	3	0	5	0	0	
92	0.15	2	0	5	0	0	0	
92	0.15	0	8	0	5	1	0	
93	0.15	0	0	0	0	0	0	
93	0.3	0	0	0	0	1	0	
93	0.3	8	1	5	5	1	0	
93	0.3	0	1	0	5	0	0	
94	0.3	8	0	5	0	1	1	
94	0.3	5	1	5	5	0	1	
94	0.3	5	0	5	0	1	1	
94	0.15	0	0	0	0	1	1	
94	0.15	5	1	5	5	0	1	
95	0.3	5	0	5	0	1	1	
95	0.3	5	1	5	5	0	1	
95	0.3	5	0	5	0	1	1	
95	0.15	0	0	0	0	1	1	
95	0.15	5	1	5	5	0	1	
96	0.3	0	0	0	0	1	0	
96	0.15	8	1	5	5	0	0	
96	0.15	8	1	5	5	0	0	
96	0.3	8	1	5	5	0	0	
96	0.15	8	1	5	5	0	0	
96	0.3	8	0	5	0	1	0	
97	0.15	0	0	0	0	1	0	
97	0.15	2	1	5	5	0	0	
97	0.15	2	1	5	5	0	0	
97	0.15	2	1	5	5	0	0	
97	0.15	2	1	5	5	0	0	
97	0.3	0	0	0	0	0	0	
98	0.3	0	0	0	0	1	0	
98	0.3	1	0	5	0	0	0	
98	0.15	0	1	0	5	0	0	
98	0.15	0	0	0	0	1	0	
98	0.3	0	1	0	5	0	0	
99	0.3	0	0	0	0	1	0	
99	0.3	1	0	5	0	0	0	
99	0.15	0	1	0	5	0	0	
99	0.15	0	0	0	0	1	0	
